id,createdDate,groupName,language,name,updatedDate,value,multiline
1,17/04/05 21:56,searchBar,en,text,17/04/05 21:56,Search for books or documents (e.g. by Title / Author / Keyword / ISBN),0
2,17/04/05 21:56,searchBar,en,button,17/04/05 21:56,search,0
3,17/04/05 21:56,homePage,en,postersLine1,18/05/01 15:28,"Get your books in&nbsp;print, anywhere.",0
4,17/04/05 21:56,homePage,en,postersLine2,18/05/01 15:19,Grassroots print-shop distribution across South Africa.,0
5,17/04/05 21:56,homePage,en,postersLine3,18/05/01 15:19,See our distribution network »,0
6,17/04/05 21:56,homePage,en,videoLine1,18/05/01 15:19,Turn your print shop into&nbsp;a&nbsp;book shop,0
7,17/04/05 21:56,homePage,en,videoLine2,18/05/01 15:19,Run a print shop? Join our network now – it's&nbsp;quick and free.,0
8,17/04/05 21:56,homePage,en,videoLine3,18/05/01 15:20,"Any print shop can register and start selling legal, low-cost print-outs to customers today.",0
9,17/04/05 21:56,homePage,en,videoButton,18/05/01 15:19,our books,0
10,17/04/05 22:05,loginForm,en,alreadyRegisteredHeading,17/04/05 22:05,Already registered?,0
11,17/04/05 22:05,loginForm,en,email,17/04/05 22:05,Email address,0
12,17/04/05 22:05,loginForm,en,password,17/04/05 22:05,Password,0
13,17/04/05 22:05,loginForm,en,rememberMe,17/04/05 22:05,Remember me,0
14,17/04/05 22:05,loginForm,en,forgotPasswordLink,17/04/05 22:05,Forgot your password?,0
15,17/04/05 22:05,loginForm,en,loginButton,17/04/05 22:05,Log in,0
16,17/04/05 22:05,loginForm,en,notRegisteredHeading,17/04/05 22:05,Not yet registered?,0
168,17/04/30 15:40,loginPanel,en,findOutletButtonHeading,17/04/30 15:40,Customers,0
18,17/04/05 22:05,loginForm,en,notRegisteredButton,17/04/05 22:05,Register,0
19,17/04/05 22:06,productDetailAnonymous,en,heading,17/11/01 13:40,Find an outlet to get this book,0
20,17/04/05 22:06,productDetailAnonymous,en,step1,17/04/05 22:06,"<td width=""60px"" style=""padding-left:10px"">Step 1:</td><td>Find your nearest outlet <a href=""http://help.paperight.com/outlets/"" target=""_blank"">here</a>.</td>",0
21,17/04/05 22:06,productDetailAnonymous,en,step2,17/04/05 22:06,"<td style=""padding-left:10px"">Step 2:</td><td>Visit the outlet and ask for a Paperight print-out.</td>",0
22,17/04/05 22:06,productDetailAnonymous,en,step3,17/04/05 22:06,"<td style=""padding-left:10px"">Step 3:</td><td>Pay for and collect your print-out.</td>",0
23,17/04/05 22:06,productDetailAnonymous,en,question,17/04/05 22:06,"Are you a printing outlet or a publisher? <a style=""cursor: pointer;"" onclick=""window.location.href = '/login/?redirectUrl=' + encodeURIComponent(document.URL); return false;"">Log in</a> or <a href=""/register"">register here</a>.",0
24,17/04/05 22:06,productDetailMetadata,en,header,17/04/05 22:06,Document information,0
25,17/04/05 22:06,productDetailMetadata,en,pageExtent,17/04/05 22:06,Number of pages:,0
26,17/04/05 22:06,productDetailMetadata,en,shortDescription,17/04/05 22:06,Summary:,0
27,17/04/05 22:06,productDetailMetadata,en,publisher,17/08/02 09:06,Publisher:,0
28,17/04/05 22:06,productDetailMetadata,en,publicationDate,17/04/05 22:06,First published:,0
29,17/04/05 22:06,productDetailMetadata,en,primaryLanguages,17/04/05 22:06,Main language(s):,0
